generacion,tipo,numero,genero,nacionalidad,promedio,actividad,materias,altura,peso
2020,U,10001,F,MEX,74,Ninguna,6,NA,NA
2020,U,10002,M,MEX,85.5,Cultura,6,NA,NA
2020,U,10003,M,MEX,83.1,Ninguna,6,NA,NA
2020,U,10004,M,MEX,85,Ninguna,6,NA,NA
2020,P,10005,F,MEX,75.6,Ninguna,5,NA,NA
2020,P,10006,M,EXT,86.3,Ninguna,7,NA,NA
2020,U,10007,F,MEX,78.1,Deportiva,5,NA,NA
2020,U,10008,F,MEX,81.2,Deportiva,5,NA,NA
2020,U,10009,F,MEX,74.8,Ninguna,6,NA,NA
2020,U,10010,F,MEX,77.6,Ninguna,5,NA,NA
2020,U,10011,M,MEX,82.9,Cultura,5,NA,NA
2020,P,10012,M,MEX,77.4,Cultura,5,NA,NA
2020,P,10013,M,MEX,79.7,Ninguna,7,NA,NA
2020,U,10014,F,MEX,84.3,Cultura,5,NA,NA
2020,U,10015,M,MEX,88.1,Deportiva,7,NA,NA
2020,U,10016,F,MEX,83.3,Ninguna,7,NA,NA
2020,P,10017,M,MEX,84.5,Cultura,7,NA,NA
2020,P,10018,M,EXT,80.5,Deportiva,6,NA,NA
2020,U,10019,M,MEX,84.1,Ninguna,7,NA,NA
2020,U,10020,F,EXT,73.5,Cultura,6,NA,NA
2020,U,10021,F,MEX,74.9,Ninguna,5,NA,NA
2020,U,10022,F,MEX,76.8,Ninguna,6,NA,NA
2020,P,10023,M,MEX,82.3,Deportiva,6,NA,NA
2020,U,10024,M,MEX,79.9,Ninguna,6,NA,NA
2020,U,10025,O,MEX,68.3,Ninguna,6,NA,NA
2020,U,10026,O,EXT,87.6,Ninguna,6,NA,NA
2020,U,10027,M,MEX,71.4,Ninguna,6,NA,NA
2020,P,10028,F,MEX,84.7,Deportiva,5,NA,NA
2020,P,10029,F,MEX,78.6,Cultura,5,NA,NA
2020,P,10030,M,MEX,83.1,Ninguna,6,NA,NA
2020,U,10031,M,EXT,79.1,Ninguna,7,NA,NA
2020,P,10032,M,MEX,80.8,Ninguna,6,NA,NA
2020,U,10033,F,EXT,69.8,Cultura,5,NA,NA
2020,U,10034,F,MEX,82,Deportiva,6,NA,NA
2020,P,10035,F,MEX,84.3,Ninguna,6,NA,NA
2020,U,10036,F,MEX,78.2,Ninguna,5,NA,NA
2020,U,10037,O,MEX,78.6,Ninguna,6,NA,NA
2020,U,10038,M,EXT,89.2,Ninguna,5,NA,NA
2020,U,10039,M,MEX,79.3,Ninguna,6,NA,NA
2020,P,10040,F,MEX,72,Cultura,5,NA,NA
2020,P,10041,F,MEX,79.9,Deportiva,7,NA,NA
2020,U,10042,M,MEX,82.1,Cultura,6,NA,NA
2020,U,10043,F,MEX,70.6,Cultura,6,NA,NA
2020,U,10044,F,MEX,74.2,Ninguna,6,NA,NA
2020,U,10045,M,MEX,79,Ninguna,6,NA,NA
2020,U,10046,F,MEX,75,Deportiva,6,NA,NA
2020,U,10047,M,MEX,84,Deportiva,6,NA,NA
2020,P,10048,O,EXT,79.7,Cultura,5,NA,NA
2020,U,10049,F,EXT,79.5,Cultura,6,NA,NA
2020,P,10050,M,MEX,69.3,Cultura,5,NA,NA
2020,U,10051,F,MEX,73,Ninguna,7,NA,NA
2020,P,10052,M,EXT,85,Cultura,7,NA,NA
2020,U,10053,O,MEX,73.5,Ninguna,6,NA,NA
2020,U,10054,M,MEX,80.9,Ninguna,7,NA,NA
2020,P,10055,F,MEX,78.3,Cultura,5,NA,NA
2020,U,10056,M,MEX,77.6,Deportiva,7,NA,NA
2020,P,10057,M,MEX,72.7,Cultura,7,NA,NA
2020,P,10058,F,MEX,77.8,Cultura,7,NA,NA
2020,P,10059,M,EXT,83.9,Deportiva,5,NA,NA
2020,P,10060,O,MEX,79.7,Ninguna,5,NA,NA
2020,U,10061,O,MEX,84.2,Ninguna,5,NA,NA
2020,U,10062,F,MEX,80.8,Ninguna,7,NA,NA
2020,P,10063,F,MEX,82.3,Ninguna,7,NA,NA
2020,U,10064,O,MEX,94.3,Deportiva,6,NA,NA
2020,U,10065,M,MEX,87.5,Deportiva,6,NA,NA
2020,U,10066,M,MEX,84,Cultura,5,NA,NA
2020,U,10067,F,MEX,81.4,Deportiva,6,NA,NA
2020,P,10068,F,MEX,85.2,Ninguna,6,NA,NA
2020,U,10069,F,EXT,82.6,Ninguna,6,NA,NA
2020,U,10070,O,MEX,84.6,Ninguna,7,NA,NA
2020,U,10071,M,MEX,79.6,Ninguna,6,NA,NA
2020,U,10072,F,MEX,80,Deportiva,6,NA,NA
2020,P,10073,F,MEX,79.4,Cultura,6,NA,NA
2020,P,10074,M,EXT,69.9,Ninguna,5,NA,NA
2020,U,10075,F,MEX,89.1,Cultura,5,NA,NA
2020,U,10076,M,MEX,71.2,Ninguna,5,NA,NA
2020,U,10077,O,MEX,86.8,Ninguna,5,NA,NA
2020,P,10078,F,MEX,75.3,Ninguna,6,NA,NA
2020,P,10079,F,MEX,77.7,Deportiva,6,NA,NA
2020,U,10080,F,EXT,85.7,Ninguna,6,NA,NA
2020,U,10081,M,EXT,75.5,Cultura,6,NA,NA
2020,P,10082,M,MEX,87.3,Cultura,7,NA,NA
2020,P,10083,F,EXT,70.5,Cultura,6,NA,NA
2020,P,10084,M,MEX,76.6,Cultura,5,NA,NA
2020,P,10085,M,MEX,79,Cultura,7,NA,NA
2020,U,10086,F,MEX,78,Deportiva,7,NA,NA
2020,P,10087,M,MEX,88.8,Ninguna,6,NA,NA
2020,U,10088,M,MEX,84.7,Cultura,7,NA,NA
2020,U,10089,F,MEX,82.4,Ninguna,6,NA,NA
2020,P,10090,M,MEX,67.7,Ninguna,5,NA,NA
2020,U,10091,M,MEX,81.8,Cultura,6,NA,NA
2020,P,10092,M,MEX,85,Deportiva,5,NA,NA
2020,U,10093,F,EXT,82.2,Cultura,7,NA,NA
2020,U,10094,F,MEX,79.8,Cultura,6,NA,NA
2020,U,10095,O,MEX,78.2,Cultura,5,NA,NA
2020,P,10096,M,MEX,77.4,Cultura,5,NA,NA
2020,P,10097,F,EXT,79.8,Ninguna,7,NA,NA
2020,U,10098,M,MEX,86.8,Cultura,6,NA,NA
2020,P,10099,F,MEX,82.6,Deportiva,7,NA,NA
2020,P,10100,F,MEX,86.9,Cultura,6,NA,NA
2020,U,10101,M,MEX,84.1,Deportiva,6,NA,NA
2020,U,10102,F,EXT,80.2,Ninguna,7,NA,NA
2020,P,10103,M,EXT,77.2,Ninguna,7,NA,NA
2020,U,10104,M,MEX,83.7,Deportiva,6,NA,NA
2020,U,10105,F,MEX,85.3,Cultura,7,NA,NA
2020,U,10106,M,MEX,75.8,Cultura,5,NA,NA
2020,U,10107,M,EXT,86.2,Ninguna,5,NA,NA
2020,U,10108,F,MEX,73.4,Deportiva,5,NA,NA
2020,P,10109,F,MEX,74.9,Cultura,5,NA,NA
2020,U,10110,M,MEX,72.2,Ninguna,6,NA,NA
2020,P,10111,M,MEX,74.1,Ninguna,7,NA,NA
2020,P,10112,O,MEX,81.6,Ninguna,5,NA,NA
2020,P,10113,O,EXT,86.5,Cultura,7,NA,NA
2020,U,10114,F,EXT,78.5,Ninguna,6,NA,NA
2020,U,10115,M,MEX,80.7,Cultura,7,NA,NA
2020,U,10116,F,EXT,86.6,Ninguna,7,NA,NA
2020,U,10117,M,MEX,83.2,Ninguna,6,NA,NA
2020,U,10118,M,EXT,86.6,Ninguna,7,NA,NA
2020,U,10119,M,MEX,76.1,Cultura,7,NA,NA
2020,P,10120,F,MEX,82.3,Deportiva,6,NA,NA
2020,U,10121,F,MEX,73.3,Ninguna,6,NA,NA
2020,U,10122,M,MEX,82.6,Deportiva,5,NA,NA
2020,U,10123,F,MEX,82.3,Cultura,6,NA,NA
2020,U,10124,F,EXT,75.5,Cultura,6,NA,NA
2020,P,10125,F,MEX,90.3,Ninguna,6,NA,NA
2020,U,10126,M,MEX,80.8,Ninguna,6,NA,NA
2020,P,10127,M,MEX,87.2,Ninguna,6,NA,NA
2020,U,10128,M,EXT,78.7,Ninguna,7,NA,NA
2020,P,10129,F,MEX,78.8,Cultura,6,NA,NA
2020,U,10130,M,MEX,78.1,Ninguna,6,NA,NA
2020,U,10131,M,MEX,82.9,Ninguna,6,NA,NA
2020,U,10132,F,MEX,78.5,Cultura,6,NA,NA
2020,U,10133,M,MEX,84.9,Cultura,5,NA,NA
2020,P,10134,M,MEX,75.6,Cultura,5,NA,NA
2020,U,10135,M,MEX,75.3,Ninguna,7,NA,NA
2020,P,10136,F,MEX,77.8,Ninguna,7,NA,NA
2020,U,10137,F,MEX,86.4,Cultura,5,NA,NA
2020,U,10138,M,MEX,79.2,Ninguna,5,NA,NA
2020,P,10139,M,MEX,69.8,Cultura,6,NA,NA
2020,P,10140,M,MEX,85.8,Ninguna,7,NA,NA
2020,P,10141,M,MEX,77.8,Cultura,6,NA,NA
2020,P,10142,F,MEX,82.6,Ninguna,6,NA,NA
2020,P,10143,F,MEX,97.6,Ninguna,5,NA,NA
2020,P,10144,M,MEX,84.2,Ninguna,6,NA,NA
2020,P,10145,M,MEX,80.6,Ninguna,7,NA,NA
2020,P,10146,F,EXT,86.3,Deportiva,7,NA,NA
2020,U,10147,F,MEX,77,Ninguna,7,NA,NA
2020,P,10148,F,MEX,75.2,Ninguna,5,NA,NA
2020,U,10149,M,MEX,82.4,Ninguna,6,NA,NA
2020,U,10150,M,MEX,86.2,Cultura,6,NA,NA
2020,U,10151,M,MEX,79.3,Cultura,5,NA,NA
2020,P,10152,M,MEX,87.4,Ninguna,6,NA,NA
2020,U,10153,F,MEX,84.2,Ninguna,7,NA,NA
2020,U,10154,M,MEX,84.4,Ninguna,5,NA,NA
2020,U,10155,F,MEX,83.1,Cultura,6,NA,NA
2020,P,10156,F,MEX,84,Cultura,7,NA,NA
2020,P,10157,F,MEX,78,Ninguna,5,NA,NA
2020,U,10158,F,MEX,82.4,Deportiva,7,NA,NA
2020,U,10159,M,MEX,80.3,Ninguna,5,NA,NA
2020,P,10160,M,EXT,74,Cultura,7,NA,NA
2020,P,10161,F,MEX,86.2,Deportiva,7,NA,NA
2020,U,10162,F,MEX,78.4,Ninguna,5,NA,NA
2020,P,10163,M,MEX,75.8,Cultura,6,NA,NA
2020,U,10164,F,MEX,86.3,Ninguna,5,NA,NA
2020,U,10165,M,MEX,77,Cultura,6,NA,NA
2020,P,10166,M,MEX,74.9,Ninguna,7,NA,NA
2020,U,10167,F,EXT,79.6,Cultura,6,NA,NA
2020,U,10168,M,MEX,83.4,Ninguna,7,NA,NA
2020,U,10169,F,MEX,68.6,Ninguna,5,NA,NA
2020,U,10170,F,MEX,79.4,Ninguna,5,NA,NA
2020,P,10171,F,EXT,76.7,Deportiva,5,NA,NA
2020,P,10172,F,MEX,80.3,Deportiva,7,NA,NA
2020,P,10173,F,MEX,76.2,Deportiva,7,NA,NA
2020,U,10174,O,MEX,78.2,Ninguna,6,NA,NA
2020,U,10175,F,MEX,86.1,Ninguna,6,NA,NA
2020,P,10176,F,EXT,75.9,Ninguna,6,NA,NA
2020,U,10177,M,MEX,85.2,Ninguna,6,NA,NA
2020,P,10178,M,EXT,80.4,Deportiva,5,NA,NA
2020,P,10179,F,MEX,75.2,Deportiva,6,NA,NA
2020,U,10180,F,MEX,73.5,Ninguna,6,NA,NA
2020,U,10181,F,MEX,80.4,Deportiva,6,NA,NA
2020,P,10182,M,EXT,89.1,Ninguna,5,NA,NA
2020,P,10183,M,MEX,79.3,Cultura,6,NA,NA
2020,P,10184,O,MEX,87.5,Ninguna,6,NA,NA
2020,P,10185,F,MEX,77.2,Deportiva,6,NA,NA
2020,U,10186,M,MEX,78.2,Ninguna,6,NA,NA
2020,U,10187,F,EXT,87.9,Ninguna,6,NA,NA
2020,U,10188,O,MEX,79.6,Ninguna,6,NA,NA
2020,U,10189,M,EXT,80.5,Deportiva,6,NA,NA
2020,U,10190,F,MEX,73.6,Ninguna,6,NA,NA
2020,P,10191,M,MEX,77.8,Ninguna,6,NA,NA
2020,U,10192,M,MEX,82.6,Deportiva,6,NA,NA
2020,P,10193,M,MEX,82.3,Cultura,5,NA,NA
2020,P,10194,F,MEX,69.6,Deportiva,6,NA,NA
2020,P,10195,F,MEX,81.5,Ninguna,7,NA,NA
2020,U,10196,M,MEX,85.7,Deportiva,7,NA,NA
2020,P,10197,F,MEX,85.9,Deportiva,6,NA,NA
2020,U,10198,M,MEX,78,Ninguna,6,NA,NA
2020,P,10199,M,MEX,83.4,Ninguna,7,NA,NA
2020,U,10200,M,MEX,82.8,Ninguna,5,NA,NA
2020,U,10201,M,MEX,84.1,Ninguna,6,NA,NA
2020,P,10202,M,MEX,80.4,Ninguna,6,NA,NA
2020,U,10203,M,MEX,72.7,Cultura,7,NA,NA
2020,U,10204,F,MEX,84.6,Ninguna,5,NA,NA
2020,U,10205,F,MEX,80.9,Deportiva,6,NA,NA
2020,P,10206,F,MEX,83.2,Ninguna,6,NA,NA
2020,P,10207,O,MEX,80.5,Ninguna,7,NA,NA
2020,U,10208,M,EXT,85.9,Deportiva,7,NA,NA
2020,U,10209,M,MEX,75,Ninguna,7,NA,NA
2020,P,10210,M,MEX,75.8,Ninguna,7,NA,NA
