"tipo","numero","genero","nacionalidad","promedio","actividad"
"P",11501,"M","EXT",84.3,"Deportiva"
"P",11502,"O","EXT",84.9,"Cultura"
"U",11503,"F","EXT",78.4,"Ninguna"
"P",11504,"F","MEX",80.9,"Ninguna"
"P",11505,"F","MEX",77.6,"Deportiva"
"U",11506,"M","EXT",74.4,"Deportiva"
"P",11507,"F","MEX",80.7,"Ninguna"
"U",11508,"O","MEX",73.5,"Ninguna"
"U",11509,"O","EXT",73.9,"Deportiva"
"U",11510,"M","MEX",80.4,"Cultura"
"P",11511,"O","MEX",79.2,"Cultura"
"U",11512,"F","MEX",71.8,"Cultura"
"P",11513,"O","MEX",83.9,"Cultura"
"U",11514,"M","MEX",81.5,"Ninguna"
"P",11515,"M","EXT",78.4,"Ninguna"
"U",11516,"M","MEX",81.4,"Deportiva"
"P",11517,"F","EXT",72.5,"Ninguna"
"P",11518,"O","MEX",75.4,"Deportiva"
"U",11519,"O","MEX",77.4,"Deportiva"
"U",11520,"O","MEX",72,"Deportiva"
"P",11521,"O","MEX",81.5,"Ninguna"
"P",11522,"M","MEX",77.5,"Cultura"
"U",11523,"M","EXT",81.9,"Ninguna"
"U",11524,"M","MEX",81.3,"Ninguna"
"U",11525,"M","EXT",80.1,"Cultura"
"U",11526,"M","EXT",78.3,"Cultura"
"U",11527,"F","MEX",79.3,"Deportiva"
"P",11528,"F","MEX",70.1,"Ninguna"
"P",11529,"O","MEX",81.6,"Ninguna"
"U",11530,"O","MEX",74.6,"Cultura"
"U",11531,"M","MEX",83.4,"Deportiva"
"U",11532,"M","MEX",77.8,"Ninguna"
"U",11533,"F","EXT",84.1,"Cultura"
"U",11534,"M","MEX",71.8,"Ninguna"
"U",11535,"M","EXT",79.4,"Deportiva"
"P",11536,"M","MEX",74.3,"Ninguna"
"U",11537,"F","MEX",82.1,"Ninguna"
"U",11538,"O","MEX",79.2,"Ninguna"
"P",11539,"O","EXT",82.8,"Cultura"
"U",11540,"M","MEX",84.5,"Ninguna"
"U",11541,"F","MEX",80.3,"Ninguna"
"U",11542,"F","EXT",91.6,"Cultura"
"U",11543,"F","EXT",77.7,"Ninguna"
"U",11544,"F","EXT",85.2,"Ninguna"
"P",11545,"F","MEX",72.3,"Ninguna"
"U",11546,"M","MEX",74.1,"Ninguna"
"P",11547,"F","EXT",76.7,"Ninguna"
"U",11548,"O","MEX",85.4,"Cultura"
"P",11549,"F","MEX",89.1,"Cultura"
"P",11550,"O","MEX",82.9,"Deportiva"
"P",11551,"F","EXT",76.6,"Cultura"
"U",11552,"M","MEX",82,"Deportiva"
"P",11553,"M","MEX",84.6,"Ninguna"
"P",11554,"F","MEX",79.3,"Ninguna"
"U",11555,"F","MEX",83.1,"Ninguna"
"U",11556,"F","MEX",92.3,"Cultura"
"U",11557,"F","MEX",81.3,"Ninguna"
"P",11558,"F","MEX",83.8,"Ninguna"
"U",11559,"M","MEX",80.8,"Deportiva"
"U",11560,"M","MEX",80.1,"Deportiva"
"P",11561,"F","MEX",79.4,"Deportiva"
"P",11562,"M","MEX",83.7,"Deportiva"
"P",11563,"F","MEX",79.3,"Cultura"
"P",11564,"O","MEX",79.3,"Cultura"
"P",11565,"O","MEX",78.9,"Deportiva"
"P",11566,"O","MEX",75.2,"Ninguna"
"U",11567,"O","MEX",68.9,"Ninguna"
"U",11568,"M","EXT",71.3,"Deportiva"
"U",11569,"M","MEX",87.3,"Cultura"
"P",11570,"O","MEX",84.6,"Ninguna"
"P",11571,"M","EXT",82.7,"Cultura"
"P",11572,"F","EXT",84.9,"Deportiva"
"P",11573,"F","MEX",83.4,"Deportiva"
"U",11574,"F","EXT",80,"Deportiva"
"U",11575,"F","EXT",83.4,"Ninguna"
"U",11576,"M","MEX",81.1,"Deportiva"
"U",11577,"O","EXT",72.8,"Cultura"
"U",11578,"M","MEX",78.2,"Ninguna"
"U",11579,"F","MEX",83.3,"Ninguna"
"U",11580,"F","EXT",80.6,"Cultura"
