"Algo","generacion","tipo","numero","genero","nacionalidad","promedio","actividad","materias","altura","peso","IMC","costo_materia","colegiatura","status","carga_academica","beca","descuento","colegiatura_real"
"1",2020,"U",10001,"F","MEX",74,"Ninguna",6,169.5,68.2,23.74,150,900,"Regular","Carga regular","0%",1,900
"2",2020,"U",10002,"M","MEX",85.5,"Cultura",6,167.5,68.8,24.52,150,900,"Regular","Carga regular","50%",0.5,450
"3",2020,"U",10003,"M","MEX",83.1,"Ninguna",6,172,73.2,24.74,150,900,"Regular","Carga regular","0%",1,900
"4",2020,"U",10004,"M","MEX",85,"Ninguna",6,170.8,70.5,24.17,150,900,"Regular","Carga regular","0%",1,900
"5",2020,"P",10005,"F","MEX",75.6,"Ninguna",5,173.5,69.4,23.05,100,500,"Regular","Menor carga","0%",1,500
"6",2020,"P",10006,"M","EXT",86.3,"Ninguna",7,170.7,69.7,23.92,100,700,"Regular","Sobrecarga","0%",1,700
"7",2020,"U",10007,"F","MEX",78.1,"Deportiva",5,169.6,73,25.38,150,750,"Regular","Menor carga","0%",1,750
"8",2020,"U",10008,"F","MEX",81.2,"Deportiva",5,174,71,23.45,150,750,"Regular","Menor carga","0%",1,750
"9",2020,"U",10009,"F","MEX",74.8,"Ninguna",6,168.2,68.7,24.28,150,900,"Regular","Carga regular","0%",1,900
"10",2020,"U",10010,"F","MEX",77.6,"Ninguna",5,171.1,70.4,24.05,150,750,"Regular","Menor carga","0%",1,750
"11",2020,"U",10011,"M","MEX",82.9,"Cultura",5,172.8,69.2,23.17,150,750,"Regular","Menor carga","0%",1,750
"12",2020,"P",10012,"M","MEX",77.4,"Cultura",5,171.4,67.5,22.98,100,500,"Regular","Menor carga","0%",1,500
"13",2020,"P",10013,"M","MEX",79.7,"Ninguna",7,168.2,69.5,24.57,100,700,"Regular","Sobrecarga","0%",1,700
"14",2020,"U",10014,"F","MEX",84.3,"Cultura",5,171.6,74,25.13,150,750,"Regular","Menor carga","0%",1,750
"15",2020,"U",10015,"M","MEX",88.1,"Deportiva",7,166.3,70.8,25.6,150,1050,"Regular","Sobrecarga","40%",0.6,630
"16",2020,"U",10016,"F","MEX",83.3,"Ninguna",7,159.4,66.1,26.02,150,1050,"Regular","Sobrecarga","0%",1,1050
"17",2020,"P",10017,"M","MEX",84.5,"Cultura",7,180.1,70.3,21.67,100,700,"Regular","Sobrecarga","0%",1,700
"18",2020,"P",10018,"M","EXT",80.5,"Deportiva",6,168.7,69.9,24.56,100,600,"Regular","Carga regular","0%",1,600
"19",2020,"U",10019,"M","MEX",84.1,"Ninguna",7,170.5,70.4,24.22,150,1050,"Regular","Sobrecarga","0%",1,1050
"20",2020,"U",10020,"F","EXT",73.5,"Cultura",6,169.4,73.6,25.65,150,900,"Regular","Carga regular","0%",1,900
"21",2020,"U",10021,"F","MEX",74.9,"Ninguna",5,175.4,67.4,21.91,150,750,"Regular","Menor carga","0%",1,750
"22",2020,"U",10022,"F","MEX",76.8,"Ninguna",6,166.9,70.9,25.45,150,900,"Regular","Carga regular","0%",1,900
"23",2020,"P",10023,"M","MEX",82.3,"Deportiva",6,168,71.3,25.26,100,600,"Regular","Carga regular","0%",1,600
"24",2020,"U",10024,"M","MEX",79.9,"Ninguna",6,176.2,71.4,23,150,900,"Regular","Carga regular","0%",1,900
"25",2020,"U",10025,"O","MEX",68.3,"Ninguna",6,173.3,72.6,24.17,150,900,"Bajo rendimiento","Carga regular","0%",1,900
"26",2020,"U",10026,"O","EXT",87.6,"Ninguna",6,170.5,65.9,22.67,150,900,"Regular","Carga regular","0%",1,900
"27",2020,"U",10027,"M","MEX",71.4,"Ninguna",6,168.8,69.7,24.46,150,900,"Regular","Carga regular","0%",1,900
"28",2020,"P",10028,"F","MEX",84.7,"Deportiva",5,165.3,69.3,25.36,100,500,"Regular","Menor carga","0%",1,500
"29",2020,"P",10029,"F","MEX",78.6,"Cultura",5,170.6,70.9,24.36,100,500,"Regular","Menor carga","0%",1,500
"30",2020,"P",10030,"M","MEX",83.1,"Ninguna",6,172.7,71.5,23.97,100,600,"Regular","Carga regular","0%",1,600
"31",2020,"U",10031,"M","EXT",79.1,"Ninguna",7,165.9,72,26.16,150,1050,"Regular","Sobrecarga","0%",1,1050
"32",2020,"P",10032,"M","MEX",80.8,"Ninguna",6,169.8,70.1,24.31,100,600,"Regular","Carga regular","0%",1,600
"33",2020,"U",10033,"F","EXT",69.8,"Cultura",5,172.9,67.1,22.45,150,750,"Bajo rendimiento","Menor carga","0%",1,750
"34",2020,"U",10034,"F","MEX",82,"Deportiva",6,171,66.6,22.78,150,900,"Regular","Carga regular","0%",1,900
"35",2020,"P",10035,"F","MEX",84.3,"Ninguna",6,172.5,69.5,23.36,100,600,"Regular","Carga regular","0%",1,600
"36",2020,"U",10036,"F","MEX",78.2,"Ninguna",5,169.2,69.8,24.38,150,750,"Regular","Menor carga","0%",1,750
"37",2020,"U",10037,"O","MEX",78.6,"Ninguna",6,166.7,71.5,25.73,150,900,"Regular","Carga regular","0%",1,900
