Turno,Maquina,Estado,Temperatura
Matutino,Maquina 1,Buen estado,41.3
Vespertino,Maquina 2,Buen estado,36.1
Matutino,Maquina 1,Buen estado,32.6
Vespertino,Maquina 2,Buen estado,27.7
Matutino,Maquina 3,Buen estado,40.7
Vespertino,Maquina 1,Buen estado,40.3
Vespertino,Maquina 3,Buen estado,29.7
Vespertino,Maquina 3,Buen estado,31.0
Matutino,Maquina 3,Buen estado,44.4
Nocturno,Maquina 3,Buen estado,26.8
Vespertino,Maquina 3,Buen estado,39.7
Matutino,Maquina 3,Buen estado,37.7
Matutino,Maquina 3,Buen estado,32.1
Matutino,Maquina 1,Buen estado,41.9
Matutino,Maquina 1,Buen estado,29.7
Matutino,Maquina 3,Buen estado,38.6
Vespertino,Maquina 1,Buen estado,37.2
Matutino,Maquina 1,Buen estado,37.6
Nocturno,Maquina 1,Buen estado,29.2
Vespertino,Maquina 1,Buen estado,33.0
Matutino,Maquina 2,Mal estado,37.1
Matutino,Maquina 1,Buen estado,40.0
Vespertino,Maquina 3,Buen estado,38.6
Matutino,Maquina 3,Buen estado,33.5
Nocturno,Maquina 3,Buen estado,34.4
Vespertino,Maquina 3,Buen estado,41.3
Matutino,Maquina 1,Buen estado,34.2
Nocturno,Maquina 1,Mal estado,37.9
Vespertino,Maquina 3,Buen estado,30.3
Vespertino,Maquina 3,Buen estado,31.1
Vespertino,Maquina 3,Buen estado,26.9
Nocturno,Maquina 1,Mal estado,36.8
Vespertino,Maquina 3,Buen estado,32.0
Vespertino,Maquina 3,Buen estado,29.3
Vespertino,Maquina 2,Buen estado,27.7
Nocturno,Maquina 3,Buen estado,30.7
Matutino,Maquina 3,Buen estado,27.5
Vespertino,Maquina 3,Buen estado,39.8
Vespertino,Maquina 3,Mal estado,32.3
Matutino,Maquina 3,Buen estado,42.7
Nocturno,Maquina 1,Buen estado,48.6
Nocturno,Maquina 2,Buen estado,31.1
Matutino,Maquina 2,Buen estado,44.3
Vespertino,Maquina 1,Buen estado,33.2
Matutino,Maquina 3,Buen estado,27.7
Matutino,Maquina 3,Buen estado,32.8
Matutino,Maquina 3,Mal estado,36.0
Vespertino,Maquina 3,Buen estado,36.2
Matutino,Maquina 3,Buen estado,40.1
Nocturno,Maquina 1,Buen estado,39.9
Vespertino,Maquina 3,Buen estado,36.8
Vespertino,Maquina 1,Buen estado,28.2
Vespertino,Maquina 2,Buen estado,43.5
Nocturno,Maquina 3,Buen estado,31.4
Nocturno,Maquina 3,Buen estado,37.4
Vespertino,Maquina 1,Buen estado,34.8
Matutino,Maquina 3,Buen estado,33.6
Vespertino,Maquina 3,Mal estado,41.6
Nocturno,Maquina 1,Buen estado,46.2
Vespertino,Maquina 3,Buen estado,30.0
Matutino,Maquina 1,Buen estado,36.6
Matutino,Maquina 1,Buen estado,32.7
Matutino,Maquina 3,Buen estado,29.6
Matutino,Maquina 2,Buen estado,40.3
Vespertino,Maquina 3,Buen estado,41.2
Nocturno,Maquina 1,Buen estado,34.7
Vespertino,Maquina 1,Buen estado,35.5
Matutino,Maquina 1,Buen estado,42.7
Matutino,Maquina 1,Buen estado,29.5
Vespertino,Maquina 3,Mal estado,46.2
Matutino,Maquina 3,Buen estado,38.3
Vespertino,Maquina 3,Buen estado,32.7
Vespertino,Maquina 3,Buen estado,35.8
Vespertino,Maquina 2,Buen estado,33.4
Vespertino,Maquina 3,Buen estado,38.0
Vespertino,Maquina 1,Buen estado,25.6
Matutino,Maquina 1,Buen estado,29.8
Vespertino,Maquina 3,Buen estado,42.6
Vespertino,Maquina 3,Buen estado,38.9
Matutino,Maquina 1,Buen estado,25.5
Vespertino,Maquina 1,Buen estado,36.5
Matutino,Maquina 2,Buen estado,36.1
Nocturno,Maquina 3,Buen estado,33.3
Vespertino,Maquina 1,Buen estado,31.1
Nocturno,Maquina 2,Buen estado,31.7
Nocturno,Maquina 1,Buen estado,38.3
Vespertino,Maquina 3,Buen estado,20.0
Matutino,Maquina 2,Mal estado,34.3
Nocturno,Maquina 1,Buen estado,32.1
Vespertino,Maquina 1,Buen estado,32.9
Vespertino,Maquina 2,Buen estado,34.4
Nocturno,Maquina 1,Buen estado,32.2
Vespertino,Maquina 3,Buen estado,41.2
Matutino,Maquina 3,Buen estado,43.8
Matutino,Maquina 2,Buen estado,41.8
Vespertino,Maquina 3,Buen estado,33.8
Nocturno,Maquina 3,Buen estado,31.7
Matutino,Maquina 3,Buen estado,29.8
Vespertino,Maquina 3,Buen estado,34.7
Matutino,Maquina 3,Buen estado,35.4
Vespertino,Maquina 1,Buen estado,36.5
Matutino,Maquina 3,Buen estado,38.2
Matutino,Maquina 3,Buen estado,39.8
Matutino,Maquina 2,Buen estado,30.5
Nocturno,Maquina 2,Buen estado,33.2
Matutino,Maquina 3,Buen estado,28.3
Matutino,Maquina 1,Buen estado,37.3
Vespertino,Maquina 3,Mal estado,35.2
Nocturno,Maquina 3,Mal estado,28.9
Vespertino,Maquina 3,Buen estado,41.4
Vespertino,Maquina 1,Buen estado,36.0
Vespertino,Maquina 2,Buen estado,25.2
Vespertino,Maquina 2,Buen estado,33.2
Vespertino,Maquina 3,Buen estado,25.2
Vespertino,Maquina 1,Buen estado,36.7
Nocturno,Maquina 3,Buen estado,33.9
Nocturno,Maquina 3,Buen estado,26.5
Nocturno,Maquina 3,Buen estado,38.2
Vespertino,Maquina 3,Mal estado,33.4
Nocturno,Maquina 2,Buen estado,38.1
Nocturno,Maquina 3,Buen estado,33.5
Matutino,Maquina 3,Buen estado,29.5
Vespertino,Maquina 1,Buen estado,37.9
Vespertino,Maquina 3,Buen estado,38.2
Matutino,Maquina 1,Buen estado,23.8
Vespertino,Maquina 3,Buen estado,45.0
Vespertino,Maquina 3,Buen estado,33.7
Matutino,Maquina 2,Buen estado,33.9
Vespertino,Maquina 2,Buen estado,28.7
Vespertino,Maquina 3,Buen estado,35.3
Vespertino,Maquina 3,Buen estado,36.3
Matutino,Maquina 3,Buen estado,34.6
Vespertino,Maquina 3,Buen estado,33.4
Vespertino,Maquina 1,Buen estado,40.3
Matutino,Maquina 3,Buen estado,35.5
Matutino,Maquina 3,Buen estado,34.3
Matutino,Maquina 2,Buen estado,26.3
Matutino,Maquina 3,Buen estado,29.5
Vespertino,Maquina 3,Buen estado,32.7
Vespertino,Maquina 3,Buen estado,28.8
Matutino,Maquina 1,Buen estado,33.8
Nocturno,Maquina 3,Buen estado,43.7
Matutino,Maquina 3,Buen estado,39.9
Matutino,Maquina 3,Buen estado,39.8
Vespertino,Maquina 2,Mal estado,24.6
Matutino,Maquina 3,Buen estado,22.7
Nocturno,Maquina 3,Buen estado,31.6
Nocturno,Maquina 3,Buen estado,37.1
Matutino,Maquina 3,Buen estado,42.6
Matutino,Maquina 3,Buen estado,35.5
Vespertino,Maquina 2,Buen estado,32.4
Vespertino,Maquina 1,Buen estado,37.8
Matutino,Maquina 3,Buen estado,38.9
Matutino,Maquina 3,Buen estado,27.6
Vespertino,Maquina 1,Buen estado,40.4
Matutino,Maquina 3,Buen estado,32.7
Vespertino,Maquina 3,Buen estado,37.7
Vespertino,Maquina 3,Buen estado,37.3
Nocturno,Maquina 2,Buen estado,38.1
Nocturno,Maquina 3,Buen estado,40.9
Vespertino,Maquina 1,Buen estado,32.0
Vespertino,Maquina 2,Buen estado,39.5
Vespertino,Maquina 1,Buen estado,35.7
Nocturno,Maquina 1,Buen estado,37.4
Matutino,Maquina 3,Buen estado,43.6
Vespertino,Maquina 3,Buen estado,39.9
Vespertino,Maquina 3,Buen estado,32.1
Vespertino,Maquina 3,Buen estado,38.2
Vespertino,Maquina 3,Buen estado,29.4
Nocturno,Maquina 3,Buen estado,35.5
Vespertino,Maquina 1,Buen estado,29.8
Vespertino,Maquina 1,Buen estado,38.6
Nocturno,Maquina 3,Buen estado,42.0
Nocturno,Maquina 1,Buen estado,34.8
Vespertino,Maquina 2,Buen estado,27.0
Vespertino,Maquina 3,Buen estado,28.8
Vespertino,Maquina 3,Buen estado,39.0
Matutino,Maquina 1,Buen estado,25.9
Vespertino,Maquina 2,Mal estado,38.5
Vespertino,Maquina 3,Buen estado,35.1
Matutino,Maquina 3,Buen estado,32.2
Nocturno,Maquina 1,Buen estado,39.7
Matutino,Maquina 1,Buen estado,36.3
Vespertino,Maquina 3,Buen estado,31.7
Vespertino,Maquina 2,Buen estado,36.8
Vespertino,Maquina 3,Buen estado,33.1
Vespertino,Maquina 3,Buen estado,29.9
Vespertino,Maquina 1,Buen estado,38.8
Vespertino,Maquina 1,Buen estado,32.5
Matutino,Maquina 3,Buen estado,34.8
Matutino,Maquina 3,Buen estado,42.4
Matutino,Maquina 1,Buen estado,36.8
Nocturno,Maquina 2,Buen estado,35.9
Matutino,Maquina 1,Buen estado,32.9
Vespertino,Maquina 3,Buen estado,31.0
Nocturno,Maquina 2,Buen estado,35.0
Vespertino,Maquina 3,Buen estado,37.2
Matutino,Maquina 3,Buen estado,30.3
Nocturno,Maquina 3,Buen estado,32.2
Matutino,Maquina 3,Buen estado,35.9
Vespertino,Maquina 2,Buen estado,45.0
Nocturno,Maquina 1,Buen estado,28.8
Nocturno,Maquina 1,Buen estado,29.3
Matutino,Maquina 1,Buen estado,30.9
Vespertino,Maquina 2,Buen estado,33.5
Matutino,Maquina 3,Buen estado,38.6
Nocturno,Maquina 3,Buen estado,34.1
Matutino,Maquina 3,Buen estado,32.1
Matutino,Maquina 3,Buen estado,35.1
Matutino,Maquina 3,Mal estado,33.1
Matutino,Maquina 3,Mal estado,39.5
Vespertino,Maquina 2,Buen estado,32.9
Vespertino,Maquina 1,Mal estado,35.2
Nocturno,Maquina 3,Buen estado,31.9
Vespertino,Maquina 1,Buen estado,35.8
Vespertino,Maquina 3,Buen estado,37.5
Nocturno,Maquina 1,Buen estado,38.5
Vespertino,Maquina 2,Buen estado,34.2
Vespertino,Maquina 2,Mal estado,28.4
Matutino,Maquina 3,Buen estado,39.7
Nocturno,Maquina 1,Buen estado,37.0
Nocturno,Maquina 1,Buen estado,36.8
Matutino,Maquina 3,Buen estado,37.7
Vespertino,Maquina 1,Buen estado,34.1
Vespertino,Maquina 3,Buen estado,31.9
Matutino,Maquina 2,Buen estado,30.7
Vespertino,Maquina 3,Buen estado,36.0
Nocturno,Maquina 3,Buen estado,34.7
Nocturno,Maquina 2,Buen estado,27.4
Vespertino,Maquina 3,Buen estado,25.6
Matutino,Maquina 2,Buen estado,37.0
Nocturno,Maquina 2,Buen estado,33.7
Nocturno,Maquina 3,Buen estado,31.0
Nocturno,Maquina 3,Buen estado,37.6
Vespertino,Maquina 1,Buen estado,25.6
Vespertino,Maquina 3,Buen estado,43.1
Vespertino,Maquina 3,Buen estado,35.3
Vespertino,Maquina 1,Buen estado,31.2
Nocturno,Maquina 3,Buen estado,33.1
Vespertino,Maquina 2,Buen estado,39.5
Nocturno,Maquina 3,Buen estado,34.1
Nocturno,Maquina 1,Buen estado,40.8
Nocturno,Maquina 2,Buen estado,39.3
Vespertino,Maquina 1,Buen estado,35.5
Vespertino,Maquina 3,Buen estado,30.3
Matutino,Maquina 1,Buen estado,30.4
Matutino,Maquina 3,Buen estado,30.0
Matutino,Maquina 1,Buen estado,25.4
Vespertino,Maquina 3,Buen estado,28.7
Vespertino,Maquina 1,Buen estado,39.8
Vespertino,Maquina 2,Buen estado,25.3
Vespertino,Maquina 1,Buen estado,19.9
Nocturno,Maquina 1,Buen estado,31.2
Matutino,Maquina 2,Buen estado,36.8
Matutino,Maquina 3,Buen estado,38.8
Matutino,Maquina 1,Buen estado,23.4
Matutino,Maquina 1,Buen estado,29.2
Vespertino,Maquina 2,Buen estado,28.6
Vespertino,Maquina 2,Buen estado,35.1
Matutino,Maquina 3,Mal estado,46.2
Vespertino,Maquina 3,Buen estado,27.3
Nocturno,Maquina 3,Buen estado,34.7
Vespertino,Maquina 1,Buen estado,39.4
Matutino,Maquina 1,Buen estado,38.0
Matutino,Maquina 1,Buen estado,40.4
Vespertino,Maquina 3,Mal estado,31.6
Vespertino,Maquina 3,Buen estado,28.2
Vespertino,Maquina 2,Buen estado,37.3
Nocturno,Maquina 3,Buen estado,31.4
Matutino,Maquina 1,Buen estado,37.8
Vespertino,Maquina 1,Buen estado,36.6
Vespertino,Maquina 3,Buen estado,39.3
Nocturno,Maquina 3,Buen estado,44.1
Vespertino,Maquina 1,Buen estado,34.7
Vespertino,Maquina 3,Buen estado,37.0
Vespertino,Maquina 2,Buen estado,29.3
Vespertino,Maquina 2,Buen estado,36.2
Vespertino,Maquina 3,Buen estado,41.4
Vespertino,Maquina 3,Buen estado,23.5
Matutino,Maquina 1,Buen estado,39.1
Matutino,Maquina 3,Buen estado,41.5
Matutino,Maquina 3,Buen estado,32.0
Matutino,Maquina 2,Buen estado,40.7
Matutino,Maquina 3,Buen estado,26.1
Matutino,Maquina 3,Buen estado,37.2
Matutino,Maquina 2,Buen estado,31.2
Vespertino,Maquina 2,Buen estado,39.6
Nocturno,Maquina 2,Buen estado,39.6
Vespertino,Maquina 3,Buen estado,36.5
Matutino,Maquina 1,Mal estado,32.2
Matutino,Maquina 3,Buen estado,41.2
Vespertino,Maquina 2,Buen estado,41.7
Matutino,Maquina 3,Buen estado,31.4
Vespertino,Maquina 2,Buen estado,37.5
Vespertino,Maquina 1,Buen estado,33.0
Nocturno,Maquina 2,Mal estado,34.1
Vespertino,Maquina 1,Buen estado,40.1
Vespertino,Maquina 1,Buen estado,24.2
Matutino,Maquina 2,Mal estado,26.6
Nocturno,Maquina 1,Buen estado,36.9
Vespertino,Maquina 3,Buen estado,38.2
Matutino,Maquina 2,Buen estado,27.6
Matutino,Maquina 3,Buen estado,37.0
Nocturno,Maquina 1,Buen estado,41.3
Matutino,Maquina 1,Buen estado,30.5
Vespertino,Maquina 1,Buen estado,47.5
Vespertino,Maquina 3,Buen estado,37.5
Nocturno,Maquina 2,Buen estado,41.0
Vespertino,Maquina 2,Buen estado,37.4
Nocturno,Maquina 1,Buen estado,42.8
Matutino,Maquina 3,Buen estado,37.4
Matutino,Maquina 1,Buen estado,40.8
Vespertino,Maquina 1,Buen estado,31.7
Vespertino,Maquina 3,Mal estado,31.8
Nocturno,Maquina 1,Buen estado,37.9
Nocturno,Maquina 1,Buen estado,31.7
Vespertino,Maquina 3,Buen estado,39.5
Nocturno,Maquina 1,Buen estado,40.3
Nocturno,Maquina 3,Buen estado,28.5
Matutino,Maquina 3,Buen estado,30.9
Vespertino,Maquina 3,Buen estado,32.2
Vespertino,Maquina 2,Buen estado,24.6
Nocturno,Maquina 3,Buen estado,37.0
Vespertino,Maquina 3,Buen estado,42.6
Vespertino,Maquina 3,Buen estado,37.4
Vespertino,Maquina 1,Buen estado,31.7
Nocturno,Maquina 3,Buen estado,34.3
Matutino,Maquina 3,Buen estado,37.2
Nocturno,Maquina 3,Buen estado,39.7
Vespertino,Maquina 3,Buen estado,26.3
Vespertino,Maquina 3,Buen estado,37.2
Vespertino,Maquina 3,Buen estado,39.3
Vespertino,Maquina 2,Buen estado,38.6
Nocturno,Maquina 2,Mal estado,44.8
Nocturno,Maquina 3,Buen estado,40.2
Matutino,Maquina 3,Buen estado,41.5
Matutino,Maquina 3,Buen estado,23.8
Matutino,Maquina 3,Buen estado,39.0
Nocturno,Maquina 3,Buen estado,32.7
