"type","title","rating","duration","listed_in","country","date_added","release_year"
"TV Show","Blood & Water","TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","South Africa","September 24, 2021",2021
"TV Show","Ganglands","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure",NA,"September 24, 2021",2021
"TV Show","Jailbirds New Orleans","TV-MA","1 Season","Docuseries, Reality TV",NA,"September 24, 2021",2021
"TV Show","Kota Factory","TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","India","September 24, 2021",2021
"TV Show","Midnight Mass","TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries",NA,"September 24, 2021",2021
"TV Show","The Great British Baking Show","TV-14","9 Seasons","British TV Shows, Reality TV","United Kingdom","September 24, 2021",2021
"TV Show","Vendetta: Truth, Lies and The Mafia","TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows",NA,"September 24, 2021",2021
"TV Show","Bangkok Breaking","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure",NA,"September 23, 2021",2021
"TV Show","Crime Stories: India Detectives","TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries",NA,"September 22, 2021",2021
"TV Show","Dear White People","TV-MA","4 Seasons","TV Comedies, TV Dramas","United States","September 22, 2021",2021
"TV Show","Falsa identidad","TV-MA","2 Seasons","Crime TV Shows, Spanish-Language TV Shows, TV Dramas","Mexico","September 22, 2021",2020
"TV Show","Jaguar","TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",NA,"September 22, 2021",2021
"TV Show","Monsters Inside: The 24 Faces of Billy Milligan","TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows",NA,"September 22, 2021",2021
"TV Show","Resurrection: Ertugrul","TV-14","5 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","Turkey","September 22, 2021",2018
"TV Show","Love on the Spectrum","TV-14","2 Seasons","Docuseries, International TV Shows, Reality TV","Australia","September 21, 2021",2021
"TV Show","Chicago Party Aunt","TV-MA","1 Season","TV Comedies",NA,"September 17, 2021",2021
"TV Show","Sex Education","TV-MA","3 Seasons","British TV Shows, International TV Shows, TV Comedies","United Kingdom","September 17, 2021",2020
"TV Show","Squid Game","TV-MA","1 Season","International TV Shows, TV Dramas, TV Thrillers",NA,"September 17, 2021",2021
"TV Show","Tayo and Little Wizards","TV-Y7","1 Season","Kids' TV",NA,"September 17, 2021",2020
"TV Show","Angry Birds","TV-Y7","1 Season","Kids' TV, TV Comedies","Finland","September 16, 2021",2018
"TV Show","Chhota Bheem","TV-Y7","3 Seasons","Kids' TV","India","September 16, 2021",2021
"TV Show","He-Man and the Masters of the Universe","TV-Y7","1 Season","Kids' TV, TV Sci-Fi & Fantasy","United States","September 16, 2021",2021
"TV Show","The Smart Money Woman","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies",NA,"September 16, 2021",2020
"TV Show","Castle and Castle","TV-MA","2 Seasons","International TV Shows, TV Dramas","Nigeria","September 15, 2021",2021
"TV Show","Dharmakshetra","TV-PG","1 Season","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","India","September 15, 2021",2014
"TV Show","Nailed It","TV-PG","6 Seasons","Reality TV","United States","September 15, 2021",2021
"TV Show","Numberblocks","TV-Y","6 Seasons","Kids' TV","United Kingdom","September 15, 2021",2021
"TV Show","Raja Rasoi Aur Anya Kahaniyan","TV-G","1 Season","Docuseries, International TV Shows","India","September 15, 2021",2014
"TV Show","Saved by the Bell","TV-PG","9 Seasons","Kids' TV, TV Comedies","United States","September 15, 2021",1994
"TV Show","Stories by Rabindranath Tagore","TV-PG","1 Season","International TV Shows, TV Dramas","India","September 15, 2021",2015
"TV Show","Too Hot To Handle: Latino","TV-MA","1 Season","International TV Shows, Reality TV, Romantic TV Shows",NA,"September 15, 2021",2021
"TV Show","Jack Whitehall: Travels with My Father","TV-MA","5 Seasons","British TV Shows, Docuseries, International TV Shows","United Kingdom","September 14, 2021",2021
"TV Show","The World's Most Amazing Vacation Rentals","TV-PG","2 Seasons","Reality TV",NA,"September 14, 2021",2021
"TV Show","Yowamushi Pedal","TV-14","1 Season","Anime Series, International TV Shows","Japan","September 14, 2021",2013
"TV Show","Lucifer","TV-14","6 Seasons","Crime TV Shows, TV Comedies, TV Dramas","United States","September 10, 2021",2021
"TV Show","Metal Shop Masters","TV-MA","1 Season","Reality TV",NA,"September 10, 2021",2021
"TV Show","Pokémon Master Journeys: The Series","TV-Y7","1 Season","Anime Series, Kids' TV",NA,"September 10, 2021",2021
"TV Show","Titipo Titipo","TV-Y","2 Seasons","Kids' TV, Korean TV Shows",NA,"September 10, 2021",2019
"TV Show","Mighty Raju","TV-Y7","4 Seasons","Kids' TV",NA,"September 9, 2021",2017
"TV Show","Into the Night","TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","Belgium","September 8, 2021",2021
"TV Show","The Circle","TV-MA","3 Seasons","Reality TV","United States, United Kingdom","September 8, 2021",2021
