"Deporte","Disciplina","Evento","Medalla","Genero","Atleta","Ciudad","Pais","Año"
"Aquatics","Swimming","100M Freestyle","Gold","Men","HAJOS, Alfred","Athens","HUN",1896
"Aquatics","Swimming","100M Freestyle","Silver","Men","HERSCHMANN, Otto","Athens","AUT",1896
"Aquatics","Swimming","100M Freestyle For Sailors","Bronze","Men","DRIVAS, Dimitrios","Athens","GRE",1896
"Aquatics","Swimming","100M Freestyle For Sailors","Gold","Men","MALOKINIS, Ioannis","Athens","GRE",1896
"Aquatics","Swimming","100M Freestyle For Sailors","Silver","Men","CHASAPIS, Spiridon","Athens","GRE",1896
"Aquatics","Swimming","1200M Freestyle","Bronze","Men","CHOROPHAS, Efstathios","Athens","GRE",1896
"Aquatics","Swimming","1200M Freestyle","Gold","Men","HAJOS, Alfred","Athens","HUN",1896
"Aquatics","Swimming","1200M Freestyle","Silver","Men","ANDREOU, Joannis","Athens","GRE",1896
"Aquatics","Swimming","400M Freestyle","Bronze","Men","CHOROPHAS, Efstathios","Athens","GRE",1896
"Aquatics","Swimming","400M Freestyle","Gold","Men","NEUMANN, Paul","Athens","AUT",1896
"Aquatics","Swimming","400M Freestyle","Silver","Men","PEPANOS, Antonios","Athens","GRE",1896
"Athletics","Athletics","100M","Bronze","Men","LANE, Francis","Athens","USA",1896
"Athletics","Athletics","100M","Bronze","Men","SZOKOLYI, Alajos","Athens","HUN",1896
"Athletics","Athletics","100M","Gold","Men","BURKE, Thomas","Athens","USA",1896
"Athletics","Athletics","100M","Silver","Men","HOFMANN, Fritz","Athens","GER",1896
"Athletics","Athletics","110M Hurdles","Gold","Men","CURTIS, Thomas","Athens","USA",1896
"Athletics","Athletics","110M Hurdles","Silver","Men","GOULDING, Grantley","Athens","GBR",1896
"Athletics","Athletics","1500M","Bronze","Men","LERMUSIAUX, Albin","Athens","FRA",1896
"Athletics","Athletics","1500M","Gold","Men","FLACK, Edwin","Athens","AUS",1896
"Athletics","Athletics","1500M","Silver","Men","BLAKE, Arthur","Athens","USA",1896
"Athletics","Athletics","400M","Bronze","Men","GMELIN, Charles","Athens","GBR",1896
"Athletics","Athletics","400M","Gold","Men","BURKE, Thomas","Athens","USA",1896
"Athletics","Athletics","400M","Silver","Men","JAMISON, Herbert","Athens","USA",1896
