hpi_flavor,frequency,place_name,index,gdp_pc,inflation_avg,unemployment_rate,current_account_bal,date,gspc_close
purchase-only,monthly,East North Central Division,100.0,36944.07,4.216,6.85,0.047,01/01/91,343.9299927
purchase-only,monthly,East North Central Division,100.95,36944.07,4.216,6.85,0.047,01/02/91,367.0700073
purchase-only,monthly,East North Central Division,100.92,36944.07,4.216,6.85,0.047,01/03/91,375.2200012
purchase-only,monthly,East North Central Division,100.98,36944.07,4.216,6.85,0.047,01/04/91,375.3399963
purchase-only,monthly,East North Central Division,101.36,36944.07,4.216,6.85,0.047,01/05/91,389.8299866
purchase-only,monthly,East North Central Division,101.5,36944.07,4.216,6.85,0.047,01/06/91,371.1600037
purchase-only,monthly,East North Central Division,101.84,36944.07,4.216,6.85,0.047,01/07/91,387.8099976
purchase-only,monthly,East North Central Division,102.03,36944.07,4.216,6.85,0.047,01/08/91,395.4299927
purchase-only,monthly,East North Central Division,101.99,36944.07,4.216,6.85,0.047,01/09/91,387.8599854
purchase-only,monthly,East North Central Division,102.33,36944.07,4.216,6.85,0.047,01/10/91,392.4500122
purchase-only,monthly,East North Central Division,103.34,36944.07,4.216,6.85,0.047,01/11/91,375.2200012
purchase-only,monthly,East North Central Division,103.39,36944.07,4.216,6.85,0.047,01/12/91,417.0899963
purchase-only,monthly,East North Central Division,103.88,37741.19,3.042,7.492,-0.792,01/01/92,408.7799988
purchase-only,monthly,East North Central Division,104.4,37741.19,3.042,7.492,-0.792,01/02/92,412.7000122
purchase-only,monthly,East North Central Division,105.14,37741.19,3.042,7.492,-0.792,01/03/92,403.6900024
purchase-only,monthly,East North Central Division,105.19,37741.19,3.042,7.492,-0.792,01/04/92,414.9500122
purchase-only,monthly,East North Central Division,105.52,37741.19,3.042,7.492,-0.792,01/05/92,415.3500061
purchase-only,monthly,East North Central Division,105.56,37741.19,3.042,7.492,-0.792,01/06/92,408.1400146
purchase-only,monthly,East North Central Division,105.94,37741.19,3.042,7.492,-0.792,01/07/92,424.2099915
purchase-only,monthly,East North Central Division,106.42,37741.19,3.042,7.492,-0.792,01/08/92,414.0299988
purchase-only,monthly,East North Central Division,106.67,37741.19,3.042,7.492,-0.792,01/09/92,417.7999878
purchase-only,monthly,East North Central Division,107.37,37741.19,3.042,7.492,-0.792,01/10/92,418.6799927
purchase-only,monthly,East North Central Division,107.75,37741.19,3.042,7.492,-0.792,01/11/92,431.3500061
purchase-only,monthly,East North Central Division,108.41,37741.19,3.042,7.492,-0.792,01/12/92,435.7099915
purchase-only,monthly,East North Central Division,108.52,38277.58,2.97,6.908,-1.237,01/01/93,438.7799988
purchase-only,monthly,East North Central Division,108.34,38277.58,2.97,6.908,-1.237,01/02/93,443.3800049
purchase-only,monthly,East North Central Division,108.92,38277.58,2.97,6.908,-1.237,01/03/93,451.6700134
purchase-only,monthly,East North Central Division,109.43,38277.58,2.97,6.908,-1.237,01/04/93,440.1900024
purchase-only,monthly,East North Central Division,109.78,38277.58,2.97,6.908,-1.237,01/05/93,450.1900024
purchase-only,monthly,East North Central Division,110.48,38277.58,2.97,6.908,-1.237,01/06/93,450.5299988
purchase-only,monthly,East North Central Division,110.88,38277.58,2.97,6.908,-1.237,01/07/93,448.1300049
