Name,Platform,Year,Genre,Publisher,America,Europa, Japón 
FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,1.61,0.15
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.2,0.62,0
Overwatch,PS4,2016,Shooter,Activision,0.64,0.68,0.14
No Man's Sky,PS4,2016,Action,Hello Games,0.58,0.74,0.02
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33
FIFA 17,XOne,2016,Sports,Electronic Arts,0.17,1.26,0
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.49,0.66,0.02
Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.27
Madden NFL 17,PS4,2016,Sports,Electronic Arts,0.92,0.08,0
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,0.83,0.14,0
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0
Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.26,0.1,0.44
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.68,0,0
Madden NFL 17,XOne,2016,Sports,Electronic Arts,0.72,0.02,0
Street Fighter V,PS4,2016,Fighting,Capcom,0.35,0.26,0.08
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.54,0.04,0
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,0.63
Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.55
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.32,0
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.27,0.19,0.01
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.04,0.16,0.24
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.17,0.21,0
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.26,0.15,0
Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14
Hyrule Warriors,3DS,2016,Action,Nintendo,0.16,0.12,0.11
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.23,0.14,0
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.15,0.2,0
FIFA 17,PS3,2016,Sports,Electronic Arts,0.02,0.29,0.01
Life is Strange,PS4,2016,Adventure,Square Enix,0.14,0.15,0.03
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.2,0.14,0
Resident Evil Zero,PS4,2016,Action,Capcom,0.09,0.17,0.05
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.16,0.1,0.07
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.17,0.15,0
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.34
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.1,0.18,0
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.24,0
DiRT Rally,PS4,2016,Racing,Codemasters,0.03,0.24,0
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.1,0.14,0.02
LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.17,0
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.05,0.19,0.03
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.06,0.07,0.14
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0,0,0.3
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.19,0.06,0
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0,0,0.28
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.21,0.03
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01
Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,0.03,0.11,0.1
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0
LEGO Marvel's Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,Square Enix,0,0,0.23
Rocket League,PS4,2016,Sports,505 Games,0.02,0.14,0
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0,0,0.22
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,0.22
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.02,0.06,0.11
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.1,0
NHL 17,PS4,2016,Sports,Electronic Arts,0.13,0.04,0
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.05,0.11,0.01
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo,0,0,0.2
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.13,0,0.05
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0,0,0.19
Kan Colle Kai,PSV,2016,Action,Kadokawa Games,0,0,0.19
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.16,0
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.01
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07
Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.06,0.1,0
FIFA 17,X360,2016,Sports,Electronic Arts,0.03,0.13,0
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0,0,0.17
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver,0.03,0,0.14
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.06,0.04,0.05
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0,0,0.17
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,0.13,0,0
Yakuza Kiwami,PS4,2016,Adventure,Sega,0,0,0.16
NHL 17,XOne,2016,Sports,Electronic Arts,0.13,0.01,0
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.08,0.05,0
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.03,0.08
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.08,0.06,0
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.09,0
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0,0,0.13
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0,0,0.13
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.08,0.04,0
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.05,0.07,0
Rocket League,XOne,2016,Sports,505 Games,0.03,0.09,0
Gundam Breaker 3,PSV,2016,Action,Namco Bandai Games,0,0,0.12
7 Days to Die,PS4,2016,Action,Telltale Games,0.03,0.07,0
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0,0.1
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0,0,0.12
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0,0,0.12
Yakuza Kiwami,PS3,2016,Adventure,Sega,0,0,0.12
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.02,0.07,0.01
DiRT Rally,XOne,2016,Racing,Codemasters,0.03,0.08,0
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0.08,0.02
Life is Strange,XOne,2016,Adventure,Square Enix,0.08,0.02,0
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0,0.11
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0,0,0.11
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0,0.03,0.07
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.09,0
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0
Toukiden 2,PSV,2016,Action,Tecmo Koei,0,0,0.11
Total War: WARHAMMER,PC,2016,Strategy,Sega,0,0.1,0
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0,0.09,0
Persona 5,PS3,2016,Role-Playing,Unknown,0,0,0.1
ReCore,XOne,2016,Action,Microsoft Game Studios,0.06,0.03,0
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0,0,0.09
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.09
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.04,0.01,0.03
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0,0,0.09
Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.05,0
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.09
Disney Art Academy,3DS,2016,Action,Nintendo,0.01,0.01,0.07
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.01,0.07,0
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09
Toukiden 2,PS4,2016,Action,Tecmo Koei,0,0,0.08
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.03,0.04,0
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.06,0.01,0
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01
Terraria,3DS,2016,Action,505 Games,0,0.03,0.04
Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.05,0.01,0
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.06,0,0
Resident Evil Zero,XOne,2016,Action,Capcom,0.05,0.02,0
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.04,0.02,0
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.02,0,0.05
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.03,0.03,0
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.01,0.02,0.02
Resident Evil 6,PS4,2016,Shooter,Capcom,0.05,0,0
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0
Song of the Deep,PS4,2016,Action,Insomniac Games,0.05,0,0
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0,0.01,0.04
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.04,0,0.01
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,0.03,0,0.02
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.01,0.02,0.03
Destiny: The Collection,PS4,2016,Shooter,Activision,0.01,0.04,0
Attack on Titan (KOEI),PS3,2016,Action,Tecmo Koei,0,0,0.06
TrackMania Turbo,XOne,2016,Action,Ubisoft,0.02,0.03,0
Summon Night 6: Lost Borders,PSV,2016,Action,Namco Bandai Games,0,0,0.06
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,0,0,0.06
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0,0,0.06
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.06
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,Nippon Columbia,0,0,0.06
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0,0,0.05
NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0,0
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.05,0
Uta no Prince-Sama: Music 3,PSV,2016,Action,Broccoli,0,0,0.05
ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,Activision,0.01,0.03,0
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus,0,0,0.05
FIFA 17,PC,2016,Sports,Electronic Arts,0,0.05,0
Culdcept Revolt,3DS,2016,Strategy,Nintendo,0,0,0.05
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei,0,0,0.05
Project Setsuna,PSV,2016,Role-Playing,Square Enix,0,0,0.05
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.04,0
Street Fighter V,PC,2016,Fighting,Capcom,0,0.05,0
Caligula,PSV,2016,Role-Playing,FuRyu,0,0,0.05
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.01,0.03,0
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.04,0
MXGP 2,XOne,2016,Racing,Milestone S.r.l.,0.02,0.02,0
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.03,0.01,0
Kamen Rider: Battride War Genesis,PSV,2016,Action,Namco Bandai Games,0,0,0.05
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0,0.04,0
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei,0,0,0.04
Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,0.02,0.02,0
Rugby Challenge 3,PS3,2016,Sports,Alternative Software,0,0.04,0
SÃ©bastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0
R.B.I. Baseball 2016,XOne,2016,Sports,MLB.com,0.04,0,0
Life is Strange,PC,2016,Adventure,Square Enix,0.01,0.03,0
