nombre,artista,anio,duracion_seg,popularidad,energia,bailabilidad,positividad,acustica,instrumental,en_vivo,habla,volumen_db,tempo_bpm,tono_mayor,explicito
Fever,Peggy Lee,1960,202.7,56,0.0756,0.833,0.338,0.314,0.0,0.111,0.147,-20.822,136.0,0,0
If I Had You,Etta Jones,1960,230.1,48,0.0206,0.52,0.109,0.961,0.000435,0.0981,0.0486,-22.868,118.4,0,0
El Rock de la Cárcel - Jailhouse Rock [Remasterizado],Los Teen Tops,1960,132.3,44,0.797,0.485,0.896,0.81,0.0,0.0787,0.0443,-6.493,95.5,0,0
Silver Dagger,Joan Baez,1960,152.1,39,0.0911,0.416,0.386,0.946,7.81e-06,0.0986,0.0377,-15.567,142.1,0,0
Mule Skinner Blues,The Fendermen,1960,148.3,35,0.592,0.51,0.545,0.814,0.0,0.0933,0.0384,-6.387,128.9,1,0
Organito de la tarde,Carlos Di Sarli,1960,169.0,33,0.349,0.458,0.661,0.818,0.803,0.0431,0.0342,-7.664,117.0,1,0
"Hallelujah, I Love Him So",Peggy Lee,1960,150.0,30,0.215,0.708,0.654,0.435,0.0,0.0483,0.423,-15.075,139.2,1,0
El Tigre,Los Camisas Negras,1960,132.9,30,0.803,0.522,0.759,0.714,3.06e-06,0.0821,0.157,-9.831,181.9,1,0
Appalachian Spring: I. Very Slowly,"Aaron Copland, Leonard Bernstein, New York Philharmonic",1960,162.2,29,0.0266,0.155,0.0364,0.986,0.914,0.0887,0.0481,-30.833,78.4,1,0
Victimae paschali laudes - Sequentia Tempore Paschali,"Gregorian Chant, Benedictine Monks of the Abbey of St. Maurice & St. Maur, Clevaux",1960,110.0,28,0.0693,0.236,0.151,0.992,0.0023,0.119,0.0426,-25.161,130.7,0,0
Más (More),Enrique Guzman,1960,133.2,28,0.447,0.343,0.536,0.742,0.0,0.308,0.0327,-10.238,90.8,1,0
Fare Thee Well,Joan Baez,1960,201.7,27,0.0703,0.364,0.213,0.924,0.0016,0.0975,0.0371,-14.633,117.1,1,0
Maybe Next Year,Art Pepper Quintet,1960,261.3,27,0.065,0.608,0.265,0.915,0.073,0.0839,0.0663,-14.579,65.9,1,0
"Bob Keane Intro - Live, Side 1",Ritchie Valens,1960,117.9,26,0.29,0.669,0.764,0.892,0.0,0.274,0.933,-16.51,84.1,0,0
Syeeda's Song Flute - Alternate Take,John Coltrane,1960,431.4,26,0.187,0.603,0.411,0.483,0.00144,0.0691,0.0641,-16.939,91.1,0,0
Cincinnati Fireball,Johnny Burnette,1960,165.0,25,0.647,0.689,0.89,0.694,0.0,0.112,0.0937,-10.457,143.6,1,0
